family,scientific_name,spanish_name,english_name,species_code,category,notes,ebird_picture,IUCN_status,IUCN_comment
Anatidae ,Spatula cyanoptera borreroi,Cerceta Canela,Cinnamon Teal (Andean),https://ebird.org/species/cintea6,RE,"solo subespecie residente. En la lista, esta como Anas cyanoptera borreroi",,,IUCN update 2024
Rallidae ,Fulica americana columbiana,Focha Americana,American Coot,https://ebird.org/species/y00475,RE,solo subespecie residente (no esta en eBird),https://macaulaylibrary.org/asset/191708561, IUCN_LC, IUCN update 2024
Passerellidae,Ammodramus savannarum, Sabanero Saltamontes, Grasshopper Sparrow, https://ebird.org/species/graspa,RE,,https://macaulaylibrary.org/asset/627231438, IUCN_LC, IUCN update 2024
Cracidae ,Crax globulosa, Pavón (Paujil) Carunculado, Wattled Curassow, https://ebird.org/species/watcur1,CA-PE,,https://macaulaylibrary.org/asset/474241241, IUCN_EN, IUCN update 2024
Trochilidae ,Eriocnemis godini, Zamarrito Gorgiturquesa, Turquoise-throated Puffleg, https://ebird.org/species/tutpuf1,CA-PE,,, IUCN_CR, IUCN update 2024
Psittacidae,Ognorhynchus icterotis, Loro Orejiamarillo (Caripero), Yellow-eared Parrot, https://ebird.org/species/yeepar1,CA-PE,,https://macaulaylibrary.org/asset/118397401, IUCN_VU, IUCN update 2024
Anatidae,Netta erythrophthalma , Porrón Sureño, Southern Pochard, https://ebird.org/species/soupoc1,CR,,https://macaulaylibrary.org/asset/319788261, IUCN_LC, IUCN update 2024
Cracidae,Crax rubra , Pavón (Paujil) Grande, Great Curassow, https://ebird.org/species/grecur1,CR,,https://macaulaylibrary.org/asset/453544411, IUCN_VU, IUCN update 2024
Threskiornithidae,Theristicus branickii , Bandurria Andina,Andean Ibis,https://ebird.org/species/bkfibi2,CR,"En la lista, esta como Theristicus melanopis ",https://macaulaylibrary.org/asset/79298701, IUCN_NT, IUCN update 2024
Accipitridae,Spizaetus isidori , Águila Andina, Black-and-chestnut Eagle, https://ebird.org/species/baceag2,CR,,https://macaulaylibrary.org/asset/68582171, IUCN_EN, IUCN update 2024
Accipitridae,Buteogallus solitarius , Águila Solitaria, Solitary Eagle, https://ebird.org/species/soleag1,CR,,https://macaulaylibrary.org/asset/20371071, IUCN_NT, IUCN update 2024
Trochilidae,Oreotrochilus cyanolaemus, Estrella Gargantiazul, Blue-throated Hillstar, https://ebird.org/species/buthil1,CR,,https://macaulaylibrary.org/asset/173601431, IUCN_CR, IUCN update 2024
Trochilidae,Oreotrochilus stolzmanni, Estrella Cabeciverde,Green-headed Hillstar, https://ebird.org/species/andhil2,CR,"En la lista, esta como Oreotrochilus estella ",https://macaulaylibrary.org/asset/447169211, IUCN_LC, IUCN update 2024
Trochilidae,Eriocnemis nigrivestis, Zamarrito Pechinegro, Black-breasted Puffleg, https://ebird.org/species/blbpuf3,CR,,https://macaulaylibrary.org/asset/610103603, IUCN_EN, IUCN update 2024
Psittacidae,Ara ambiguus, Guacamayo Verde Mayor, Great Green Macaw, https://ebird.org/species/grgmac,CR,,https://macaulaylibrary.org/asset/626852392, IUCN_CR, IUCN update 2024
