Drymotoxeres pucheranii
Pseudocolaptes johnsoni
Syndactyla rufosuperciliata
Thripadectes ignobilis
Asthenes griseomurina
Xenerpestes singularis
Synallaxis stictothorax
Myiopagis olallai
Myiopagis subplacens
Elaenia obscura
Pseudelaenia leucospodia
Pogonotriccus poecilotis
Pogonotriccus orbitalis
Phylloscartes gualaquizae
Rhynchocyclus pacificus
Platyrinchus flavigularis
Onychorhynchus coronatus
Lathrotriccus griseipectus
Contopus cooperi
Mitrephanes phaeocercus
Cnemarchus erythropygius
Conopias albovittatus
Rhytipterna holerythra
Ramphotrigon fuscicauda
Pipreola jucunda
Snowornis subalaris
Cotinga nattererii
Lipaugus fuscocinereus
Carpodectes hopkei
Chloropipo unicolor
Lepidothrix isidorei
Ceratopipra mentalis
Laniocera rufescens
Pachysylvia semibrunnea
Odontorchilus branickii
Cantorchilus leucopogon
Cyphorhinus phaeocephalus
Polioptila schistaceigula
Entomodestes coracinus
Turdus obsoletus
Turdus nigriceps
Turdus assimilis
Conothraupis speculigera
Bangsia edwardsi
Poecilostreptus palmeri
Ixothraupis rufigula
Tangara lavinia
Tangara johannae
Dacnis venusta
Heterospingus xanthopygius
Chrysothlypis salmoni
Diglossa indigotica
Sicalis taczanowskii
Arremon abeillei
Atlapetes albiceps
Chlorothraupis stolzmanni
Chlorothraupis olivacea
Myiothlypis fraseri
Psarocolius wagleri
Agelasticus xanthophthalmus
Spinus spinescens
Euphonia fulvicrissa
Chlorophonia flavirostris
Odontophorus stellatus
Dromococcyx pavoninus
Cypseloides cherriei
Avocettula recurvirostris
Lophornis verreauxii
Campylopterus falcatus
Pyrrhura roseifrons peruviana
Chloropipo flavicapilla
Cacicus latirostris
